COMMON_NAME,SPECIES_CODE
Buru White-eye,burwhe1
Ambon White-eye,ambwhe1
New Guinea White-eye,ngweye1
Australian Yellow White-eye,ayweye3
Louisiade White-eye,loweye1
Rennell White-eye,reweye1
Banded White-eye,baweye2
Ganongga White-eye,gaweye1
Splendid White-eye,spweye2
Yellow-throated White-eye,ytweye1
Solomons White-eye,soiwhe1
Kolombangra White-eye,kulwhe1
Gray-throated White-eye,gytwhe1
Malaita White-eye,maweye2
Santa Cruz White-eye,sacwhe1
Vanikoro White-eye,vanwhe1
Large Lifou White-eye,llweye1
Green-backed White-eye,gnbwhe1
Small Lifou White-eye,slweye1
Lord Howe White-eye,lohwhe1
Slender-billed White-eye,sbweye1
Robust White-eye,robwhe1
White-chested White-eye,wcweye1
Layard's White-eye,laweye1
Silver-eye,silver3
Yellow-fronted White-eye,yfweye1
Samoan White-eye,saweye1
Dusky White-eye,duweye1
Pohnpei White-eye,pohwhe1
Kosrae White-eye,koswhe1
Yap White-eye,yapwhe1
Chestnut-capped Babbler,chcbab1
Pin-striped Tit-Babbler,sttbab1
Bold-striped Tit-Babbler,bostib1
Gray-cheeked Tit-Babbler,gyctib1
Gray-faced Tit-Babbler,gyftib1
Tawny-bellied Babbler,tabbab1
Dark-fronted Babbler,dafbab1
Brown Tit-Babbler,brtbab1
Fluffy-backed Tit-Babbler,fbtbab1
Golden Babbler,golbab1
Chestnut-winged Babbler,chwbab1
Crescent-chested Babbler,crcbab1
Black-chinned Babbler,blcbab2
Rufous-capped Babbler,rucbab1
Buff-chested Babbler,bucbab1
Rufous-fronted Babbler,rufbab2
Rufous-throated Wren-Babbler,rtwbab1
Rusty-throated Wren-Babbler,miswrb1
Bar-winged Wren-Babbler,bwwbab1
Long-tailed Wren-Babbler,ltwbab1
Chin Hills Wren-Babbler,chhwrb1
Gray-bellied Wren-Babbler,gybwrb1
Pale-throated Wren-Babbler,patwrb1
Tawny-breasted Wren-Babbler,tbwbab1
Red-billed Scimitar-Babbler,rbsbab1
Coral-billed Scimitar-Babbler,cbsbab2
Slender-billed Scimitar-Babbler,sbsbab1
Streak-breasted Scimitar-Babbler,sbsbab3
Taiwan Scimitar-Babbler,taiscb1
Indian Scimitar-Babbler,insbab1
Sri Lanka Scimitar-Babbler,srlscb1
White-browed Scimitar-Babbler,wbsbab1
Chestnut-backed Scimitar-Babbler,cbsbab1
Large Scimitar-Babbler,lasbab1
Black-necklaced Scimitar-Babbler,sbsbab2
Rusty-cheeked Scimitar-Babbler,rcsbab1
Spot-breasted Scimitar-Babbler,spbscb1
Black-streaked Scimitar-Babbler,bksscb1
Gray-sided Scimitar-Babbler,gysscb1
White-breasted Babbler,whbbab2
Black-throated Babbler,bltbab1
Chestnut-rumped Babbler,chrbab1
Gray-throated Babbler,gytbab1
Gray-headed Babbler,gyhbab1
White-necked Babbler,whnbab1
White-bibbed Babbler,whbbab1
Snowy-throated Babbler,sntbab1
Spot-necked Babbler,spnbab1
Sooty Babbler,soobab1
Nonggang Babbler,nonbab1
Blackish-breasted Babbler,wbwbab1
Chevron-breasted Babbler,chbbab1
Palawan Babbler,palbab1
Moustached Babbler,moubab1
Sooty-capped Babbler,socbab1
Scaly-crowned Babbler,sccbab1
Rufous-crowned Babbler,rucbab2
Gray-breasted Babbler,gybbab1
White-hooded Babbler,whhbab2
Collared Babbler,colbab1
Yellow-throated Fulvetta,yetful1
Rufous-winged Fulvetta,ruwful1
Black-crowned Fulvetta,bkcful1
Rufous-throated Fulvetta,rutful1
Dusky Fulvetta,dusful1
Rusty-capped Fulvetta,rucful1
Brown Illadopsis,broill1
Pale-breasted Illadopsis,pabill1
Mountain Illadopsis,mouill1
Blackcap Illadopsis,blaill1
Scaly-breasted Illadopsis,scbill1
Rufous-winged Illadopsis,ruwill1
Puvel's Illadopsis,puvill1
Thrush Babbler,thrbab1
Puff-throated Babbler,putbab1
Black-capped Babbler,blcbab1
Brown-capped Babbler,bncbab1
Marsh Babbler,marbab2
Spot-throated Babbler,sptbab1
Buff-breasted Babbler,bubbab1
Sumatran Babbler,sumbab1
Temminck's Babbler,tembab1
Short-tailed Babbler,shtbab1
Ashy-headed Babbler,ashbab1
White-chested Babbler,whcbab1
Sulawesi Babbler,sulbab1
Ferruginous Babbler,ferbab1
Striped Wren-Babbler,stwbab3
Eyebrowed Wren-Babbler,eywbab1
Short-tailed Scimitar-Babbler,shtscb1
Long-billed Wren-Babbler,lbwbab1
White-throated Wren-Babbler,whtwrb1
Sumatran Wren-Babbler,sumwrb1
Bornean Wren-Babbler,bowbab1
Striated Wren-Babbler,stwbab2
Falcated Wren-Babbler,fawbab1
Abbott's Babbler,abbbab1
Horsfield's Babbler,horbab2
Black-browed Babbler,blbbab1
Large Wren-Babbler,lawbab1
Rusty-breasted Wren-Babbler,rbwbab1
Black-throated Wren-Babbler,btwbab1
Marbled Wren-Babbler,mawbab1
Limestone Wren-Babbler,liwbab1
Streaked Wren-Babbler,stwbab1
Mountain Wren-Babbler,mowbab1
Indian Grassbird,rurgra1
Chinese Grassbird,chigra1
Gold-fronted Fulvetta,gofful2
Ludlow's Fulvetta,ludful1
Brown Fulvetta,broful1
Brown-cheeked Fulvetta,brcful1
Morrison's Fulvetta,gycful1
Yunnan Fulvetta,gycful4
David's Fulvetta,gycful3
Huet's Fulvetta,gycful5
Javan Fulvetta,javful1
Mountain Fulvetta,mouful1
Nepal Fulvetta,nepful1
Black-browed Fulvetta,bkbful1
Striated Laughingthrush,strlau2
Himalayan Cutia,cutia1
Vietnamese Cutia,viecut1
Spiny Babbler,spibab1
Iraq Babbler,irabab1
Afghan Babbler,combab1
Common Babbler,combab3
Striated Babbler,strbab1
White-throated Babbler,whtbab1
Slender-billed Babbler,slbbab1
Large Gray Babbler,lagbab2
Arabian Babbler,arabab1
Fulvous Chatterer,fulcha1
Scaly Chatterer,scacha1
Rufous Chatterer,rufcha2
Rufous Babbler,rufbab3
Jungle Babbler,junbab2
Orange-billed Babbler,orbbab1
Yellow-billed Babbler,yebbab1
Blackcap Babbler,blabab2
Dusky Babbler,dusbab2
Black-lored Babbler,bklbab1
Hartlaub's Babbler,harbab1
Black-faced Babbler,bkfbab1
Scaly Babbler,scabab2
White-rumped Babbler,whrbab2
Southern Pied-Babbler,sopbab1
Northern Pied-Babbler,norpib1
Hinde's Pied-Babbler,hipbab1
Cretzschmar's Babbler,crebab1
Brown Babbler,brobab1
Arrow-marked Babbler,armbab1
Bare-cheeked Babbler,bacbab1
White-throated Mountain-Babbler,wtmbab1
Red-collared Mountain-Babbler,rcmbab1
Chapin's Mountain-Babbler,chmbab1
Capuchin Babbler,capbab1
Ashy-headed Laughingthrush,ashlau1
Sunda Laughingthrush,sunlau1
Rufous-fronted Laughingthrush,ruflau1
Masked Laughingthrush,maslau1
White-crested Laughingthrush,whclau2
Sumatran Laughingthrush,sumlau1
Lesser Necklaced Laughingthrush,lenlau1
Black Laughingthrush,blalau1
Bare-headed Laughingthrush,bahlau1
Cambodian Laughingthrush,camlau1
White-necked Laughingthrush,whnlau1
Black-hooded Laughingthrush,blhlau1
Gray Laughingthrush,grylau1
Rufous-cheeked Laughingthrush,ruclau3
Spot-breasted Laughingthrush,spblau1
Orange-breasted Laughingthrush,orblau1
Chinese Hwamei,melthr
Taiwan Hwamei,taihwa1
Sukatschev's Laughingthrush,suklau1
Moustached Laughingthrush,moulau1
Rufous-chinned Laughingthrush,ruclau1
Chestnut-eared Laughingthrush,chelau1
Spotted Laughingthrush,spolau1
Barred Laughingthrush,barlau1
Biet's Laughingthrush,bielau1
Giant Laughingthrush,gialau1
Greater Necklaced Laughingthrush,gnlthr
White-throated Laughingthrush,whtlau1
Rufous-crowned Laughingthrush,ruclau2
Rufous-necked Laughingthrush,runlau1
Chestnut-backed Laughingthrush,chblau1
Black-throated Laughingthrush,bltlau1
White-cheeked Laughingthrush,whclau1
Yellow-throated Laughingthrush,yetlau1
Blue-crowned Laughingthrush,buclau1
Wynaad Laughingthrush,wynlau1
Rufous-vented Laughingthrush,ruvlau1
Pere David's Laughingthrush,pedlau1
Gray-sided Laughingthrush,gyslau
Rusty Laughingthrush,ruslau1
Buffy Laughingthrush,buflau1
Chestnut-capped Laughingthrush,chclau3
Chestnut-hooded Laughingthrush,chhlau1
White-browed Laughingthrush,whblau1
Chinese Babax,chibab1
Giant Babax,giabab1
Tibetan Babax,tibbab1
Streaked Laughingthrush,strlau1
Bhutan Laughingthrush,bhulau1
Striped Laughingthrush,strlau3
Scaly Laughingthrush,scalau1
Brown-capped Laughingthrush,brclau1
Blue-winged Laughingthrush,blwlau1
Elliot's Laughingthrush,elllau1
Variegated Laughingthrush,varlau1
Prince Henry's Laughingthrush,prhlau1
Black-faced Laughingthrush,blflau1
White-whiskered Laughingthrush,whwlau1
Chestnut-crowned Laughingthrush,chclau2
Assam Laughingthrush,asslau1
Silver-eared Laughingthrush,sielau1
Malayan Laughingthrush,mallau1
Golden-winged Laughingthrush,gowlau1
Collared Laughingthrush,collau1
Red-winged Laughingthrush,rewlau1
Red-tailed Laughingthrush,retlau1
Banasura Laughingthrush,bkclau1
Nilgiri Laughingthrush,bkclau2
Palani Laughingthrush,kerlau2
Ashambu Laughingthrush,kerlau3
Rufous Sibia,rufsib1
Gray Sibia,grysib1
Black-backed Sibia,blbsib1
Black-headed Sibia,blhsib1
White-eared Sibia,whesib1
Beautiful Sibia,beasib1
Long-tailed Sibia,lotsib1
Silver-eared Mesia,siemes1
Red-billed Leiothrix,reblei
Red-tailed Minla,retmin1
Rufous-backed Sibia,rubsib1
Gray-crowned Crocias,gyccro1
Spotted Crocias,spocro1
Gray-faced Liocichla,gyflio1
Bugun Liocichla,buglio1
Steere's Liocichla,stelio1
Red-faced Liocichla,reflio2
Scarlet-faced Liocichla,reflio3
Black-crowned Barwing,bkcbar1
Hoary-throated Barwing,hotbar1
Streak-throated Barwing,sttbar1
Streaked Barwing,strbar1
Taiwan Barwing,taibar1
Rusty-fronted Barwing,rufbar1
Spectacled Barwing,spebar1
Blue-winged Minla,blwmin1
Chestnut-tailed Minla,chtmin1
Gurney's Sugarbird,gursug1
Cape Sugarbird,capsug1
Spot-throat,spothr1
Dapple-throat,dapthr1
Gray-chested Babbler,gycill1
Asian Fairy-bluebird,asfblu1
Philippine Fairy-bluebird,phifab1
Yellow-bellied Hyliota,yebhyl1
Southern Hyliota,souhyl1
Usambara Hyliota,usahyl1
Violet-backed Hyliota,vibhyl1
Gray-streaked Flycatcher,gysfly1
Dark-sided Flycatcher,dasfly
Ferruginous Flycatcher,ferfly1
Asian Brown Flycatcher,asbfly
Ashy-breasted Flycatcher,asbfly1
Sumba Brown Flycatcher,subfly2
Brown-breasted Flycatcher,brbfly2
Sulawesi Brown Flycatcher,subfly3
Brown-streaked Flycatcher,bnsfly1
Dusky-brown Flycatcher,afdfly1
Little Flycatcher,ligfly2
Yellow-footed Flycatcher,yeffly1
Spotted Flycatcher,spofly1
Gambaga Flycatcher,gamfly1
Swamp Flycatcher,swafly3
Cassin's Flycatcher,casfly1
Böhm's Flycatcher,boefly1
Ussher's Flycatcher,ussfly1
Sooty Flycatcher,soofly1
Dusky-blue Flycatcher,dubfly2
Mariqua Flycatcher,marfly1
Grayish Flycatcher,afgfly1
Pale Flycatcher,palfly2
Chat Flycatcher,chafly2
White-browed Forest-Flycatcher,wbffly1
African Forest-Flycatcher,afffly1
Gray-throated Tit-Flycatcher,gyttif1
Gray Tit-Flycatcher,grytif1
Olivaceous Flycatcher,olifly1
Chapin's Flycatcher,chafly1
Tessmann's Flycatcher,tesfly1
Ashy Flycatcher,ashfly1
Herero Chat,hercha1
Silverbird,silver1
Fiscal Flycatcher,fisfly1
Yellow-eyed Black-Flycatcher,yebfly2
Nimba Flycatcher,nimfly1
Northern Black-Flycatcher,nobfly1
Southern Black-Flycatcher,sobfly1
White-eyed Slaty-Flycatcher,wheslf1
Angola Slaty-Flycatcher,angslf1
Abyssinian Slaty-Flycatcher,abyslf1
Grand Comoro Flycatcher,grcfly3
Fire-crested Alethe,ficale1
Karoo Scrub-Robin,kasrob2
Forest Scrub-Robin,fosrob1
Brown Scrub-Robin,brsrob1
Bearded Scrub-Robin,besrob1
Miombo Scrub-Robin,misrob1
Black Scrub-Robin,blsrob1
Rufous-tailed Scrub-Robin,rtsrob1
African Scrub-Robin,afrscr1
Kalahari Scrub-Robin,kasrob1
Brown-backed Scrub-Robin,bbsrob1
Red-backed Scrub-Robin,rbsrob1
Indian Robin,indrob1
Oriental Magpie-Robin,magrob
Rufous-tailed Shama,rutsha2
Madagascar Magpie-Robin,mamrob1
Seychelles Magpie-Robin,semrob1
Philippine Magpie-Robin,phimar1
White-rumped Shama,whrsha
Andaman Shama,andsha1
White-browed Shama,whbsha1
Visayan Shama,vissha1
White-vented Shama,whvsha1
Black Shama,blasha1
White-gorgeted Flycatcher,whgfly1
Rufous-browed Flycatcher,rubfly3
Nilgiri Blue Robin,whbsho1
White-bellied Blue Robin,whbsho3
Matinan Flycatcher,matfly2
Blue-fronted Flycatcher,blffly1
Timor Blue Flycatcher,tibfly2
White-tailed Flycatcher,whtfly2
Rück's Blue Flycatcher,rubfly1
Blue-breasted Flycatcher,blbfly3
Hainan Blue Flycatcher,habfly1
White-bellied Blue Flycatcher,wbbfly1
Pale-chinned Blue Flycatcher,pacblf1
Pale Blue Flycatcher,pabfly2
Blue-throated Flycatcher,butfly1
Chinese Blue Flycatcher,butfly2
Large Blue Flycatcher,larblf1
Hill Blue Flycatcher,hibfly1
Sunda Blue Flycatcher,lobblf1
Malaysian Blue Flycatcher,mabfly1
Palawan Blue Flycatcher,pabfly1
Bornean Blue Flycatcher,bobfly2
Tickell's Blue Flycatcher,tibfly1
Mangrove Blue Flycatcher,mabfly2
Sulawesi Blue Flycatcher,subfly1
Brown-chested Jungle-Flycatcher,bncjuf1
Nicobar Jungle-Flycatcher,nicjuf1
Gray-chested Jungle-Flycatcher,gycjuf1
Fulvous-chested Jungle-Flycatcher,fucjuf1
Flores Jungle-Flycatcher,flojuf1
Chestnut-tailed Jungle-Flycatcher,chtjuf1
Henna-tailed Jungle-Flycatcher,htjfly1
Large Niltava,larnil1
Small Niltava,smanil1
Fujian Niltava,fujnil1
Rufous-bellied Niltava,rubnil1
Rufous-vented Niltava,ruvnil1
Vivid Niltava,vivnil1
Blue-and-white Flycatcher,bawfly2
Zappey's Flycatcher,zapfly1
Dull-blue Flycatcher,dubfly3
Nilgiri Flycatcher,nilfly2
Indigo Flycatcher,indfly1
Verditer Flycatcher,verfly4
Buru Jungle-Flycatcher,burjuf1
Turquoise Flycatcher,islfly1
White-bellied Robin-Chat,wbrcha1
Mountain Robin-Chat,morcha1
Archer's Robin-Chat,arrcha1
Olive-flanked Robin-Chat,ofrcha1
Cape Robin-Chat,carcha1
White-throated Robin-Chat,wtrcha1
Blue-shouldered Robin-Chat,bsrcha1
Gray-winged Robin-Chat,gywroc1
Rüppell's Robin-Chat,rurcha1
White-browed Robin-Chat,wbrcha2
Red-capped Robin-Chat,rcrcha1
Chorister Robin-Chat,chrcha1
White-headed Robin-Chat,whrcha1
Snowy-crowned Robin-Chat,scrcha1
White-crowned Robin-Chat,wcrcha1
Angola Cave-Chat,anccha1
Collared Palm-Thrush,copthr1
Rufous-tailed Palm-Thrush,rtpthr1
Spotted Morning-Thrush,spmthr1
European Robin,eurrob1
White-starred Robin,whsrob1
Swynnerton's Robin,swyrob1
Brown-chested Alethe,brcale1
Red-throated Alethe,retale1
Cholo Alethe,choale1
White-chested Alethe,whcale1
Forest Robin,forrob1
Bocage's Akalat,bocaka1
Lowland Akalat,lowaka1
Equatorial Akalat,equaka1
Sharpe's Akalat,shaaka1
East Coast Akalat,eacaka1
Gabela Akalat,gabaka1
Usambara Akalat,usaaka1
Iringa Akalat,iriaka1
Rubeho Akalat,rubaka1
Bagobo Robin,bagbab2
Eyebrowed Jungle-Flycatcher,eyjfly1
Rusty-flanked Jungle-Flycatcher,rufjuf1
Negros Jungle-Flycatcher,negjuf1
Mindanao Jungle-Flycatcher,minjuf1
Great Shortwing,gresho1
Rusty-bellied Shortwing,rubsho1
Gould's Shortwing,gousho1
Lesser Shortwing,lessho1
White-browed Shortwing,whbsho2
Rufous-tailed Robin,rutrob1
Rufous-headed Robin,ruhrob1
Japanese Robin,japrob1
Ryukyu Robin,ryurob1
Indian Blue Robin,inbrob1
Siberian Blue Robin,sibrob
White-throated Robin,whtrob3
Thrush Nightingale,thrnig1
Common Nightingale,comnig1
White-bellied Redstart,whbred1
Bluethroat,blueth
Sri Lanka Whistling-Thrush,ceywht1
Shiny Whistling-Thrush,shwthr1
Javan Whistling-Thrush,javwht1
Sumatran Whistling-Thrush,chwwht1
Bornean Whistling-Thrush,borwht1
Malayan Whistling-Thrush,mawthr2
Malabar Whistling-Thrush,mawthr1
Taiwan Whistling-Thrush,fowthr1
Blue Whistling-Thrush,blwthr1
Little Forktail,litfor1
White-crowned Forktail,whcfor1
Spotted Forktail,spofor1
Sunda Forktail,sunfor1
Chestnut-naped Forktail,chnfor1
Black-backed Forktail,blbfor1
Slaty-backed Forktail,slbfor1
Firethroat,fireth1
Black-throated Blue Robin,btbrob1
Siberian Rubythroat,sibrub
Himalayan Rubythroat,himrub1
Chinese Rubythroat,chirub1
White-tailed Robin,whtrob2
Sunda Robin,sunrob1
Blue-fronted Robin,blfrob1
Grandala,granda1
Red-flanked Bluetail,refblu
Himalayan Bluetail,himblu1
Rufous-breasted Bush-Robin,rbbrob1
White-browed Bush-Robin,wbbrob1
Golden Bush-Robin,gobrob1
Collared Bush-Robin,cobrob1
Korean Flycatcher,korfly1
Green-backed Flycatcher,narfly1
Narcissus Flycatcher,narfly
Mugimaki Flycatcher,mugfly
Slaty-backed Flycatcher,slbfly1
Black-and-rufous Flycatcher,barfly1
Slaty-blue Flycatcher,slbfly2
Snowy-browed Flycatcher,snbfly1
Pygmy Flycatcher,pybfly1
Rufous-gorgeted Flycatcher,rugfly1
Sapphire Flycatcher,sapfly1
Little Pied Flycatcher,lipfly1
Ultramarine Flycatcher,ultfly1
Rusty-tailed Flycatcher,rutfly6
Taiga Flycatcher,taifly1
Kashmir Flycatcher,kasfly1
Red-breasted Flycatcher,rebfly
Semicollared Flycatcher,semfly1
European Pied Flycatcher,eupfly1
Atlas Flycatcher,atlfly1
Collared Flycatcher,colfly1
Tanimbar Flycatcher,rucfly3
Rufous-chested Flycatcher,rucfly1
Palawan Flycatcher,palfly1
Furtive Flycatcher,furfly1
Rufous-throated Flycatcher,rutfly5
Damar Flycatcher,damfly1
Cinnamon-chested Flycatcher,cicfly1
Lompobattang Flycatcher,lomfly1
Sumba Flycatcher,sumfly1
Black-banded Flycatcher,blbfly2
Little Slaty Flycatcher,lisfly1
Cryptic Flycatcher,rutfly7
Bundok Flycatcher,bunfly1
Blue-fronted Redstart,blfred1
Plumbeous Redstart,plured1
Luzon Redstart,luzred1
Rufous-backed Redstart,rubred2
White-capped Redstart,whcred1
Ala Shan Redstart,alsred1
Blue-capped Redstart,bucred1
Moussier's Redstart,moured1
Common Redstart,comred2
Hodgson's Redstart,hodred1
White-throated Redstart,whtred1
White-winged Redstart,whwred2
Black Redstart,blared1
Daurian Redstart,daured1
Little Rock-Thrush,lirthr1
Chestnut-bellied Rock-Thrush,cbrthr1
White-throated Rock-Thrush,wtrthr1
Blue-capped Rock-Thrush,bcrthr1
Short-toed Rock-Thrush,strthr1
Sentinel Rock-Thrush,serthr1
Forest Rock-Thrush,forrot2
Littoral Rock-Thrush,litrot1
Rufous-tailed Rock-Thrush,rtrthr1
Blue Rock-Thrush,burthr
Miombo Rock-Thrush,mirthr1
Cape Rock-Thrush,carthr1
Whinchat,whinch1
White-browed Bushchat,whbbus4
White-throated Bushchat,whtbus1
Fuerteventura Stonechat,caisto1
European Stonechat,stonec4
Siberian Stonechat,sibsto1
African Stonechat,afrsto1
Reunion Stonechat,reusto1
White-tailed Stonechat,whtsto2
Pied Bushchat,piebus1
Jerdon's Bushchat,jerbus1
Gray Bushchat,grybus1
Timor Bushchat,timbus1
Buff-streaked Bushchat,busbus1
Boulder Chat,boucha1
Congo Moorchat,conmoo1
Northern Anteater-Chat,noacha1
Southern Anteater-Chat,soacha1
Sooty Chat,soocha1
Rüppell's Chat,ruecha1
White-fronted Black-Chat,wfbcha1
White-headed Black-Chat,whbcha2
Ruaha Chat,ruacha1
Mocking Cliff-Chat,moccha1
White-winged Cliff-Chat,wwccha1
Sicklewing Chat,siccha1
Karoo Chat,karcha1
Tractrac Chat,tracha1
Familiar Chat,famcha1
Brown-tailed Chat,brtcha1
Indian Chat,indcha1
Sombre Chat,somcha1
Blackstart,blacks1
Moorland Chat,moocha1
White-crowned Wheatear,whtwhe1
Hooded Wheatear,hoowhe1
Hume's Wheatear,humwhe2
Black Wheatear,blawhe1
Mountain Wheatear,mouwhe1
Somali Wheatear,somwhe1
Northern Wheatear,norwhe
Mourning Wheatear,mouwhe2
Arabian Wheatear,mouwhe5
Abyssinian Wheatear,mouwhe4
Finsch's Wheatear,finwhe1
Variable Wheatear,varwhe1
Red-rumped Wheatear,rerwhe1
Pied Wheatear,piewhe1
Cyprus Wheatear,cypwhe1
Black-eared Wheatear,blewhe1
Red-tailed Wheatear,retwhe1
Desert Wheatear,deswhe1
Capped Wheatear,capwhe1
Isabelline Wheatear,isawhe1
Red-breasted Wheatear,rebwhe1
Heuglin's Wheatear,heuwhe1
Rufous Flycatcher-Thrush,rufthr1
Finsch's Flycatcher-Thrush,fifthr1
Red-tailed Ant-Thrush,rtathr1
White-tailed Ant-Thrush,wtathr1
Siberian Thrush,sibthr1
Pied Thrush,piethr1
Spotted Ground-Thrush,spgthr1
Black-eared Ground-Thrush,bkegrt1
Gray Ground-Thrush,grygrt1
Crossley's Ground-Thrush,crgthr1
Oberlaender's Ground-Thrush,obgthr1
Abyssinian Ground-Thrush,abgthr1
Kivu Ground-Thrush,kigthr1
Orange Ground-Thrush,orgthr1
Spot-winged Thrush,spwthr1
Ashy Thrush,ashthr1
Buru Thrush,burthr1
Seram Thrush,serthr2
Chestnut-capped Thrush,chcthr1
Enggano Thrush,engthr1
Chestnut-backed Thrush,chbthr1
Orange-banded Thrush,orbthr1
Slaty-backed Thrush,slbthr1
Rusty-backed Thrush,rubthr2
Red-and-black Thrush,rabthr1
Orange-headed Thrush,orhthr1
Long-tailed Thrush,lotthr1
Alpine Thrush,alpthr1
Himalayan Thrush,himthr1
Sichuan Thrush,sicthr1
Geomalia,geomal1
Dark-sided Thrush,dasthr1
Long-billed Thrush,lobthr1
Everett's Thrush,evethr1
Sunda Thrush,sunthr1
White's Thrush,scathr2
Scaly Thrush,scathr8
Nilgiri Thrush,scathr4
Sri Lanka Thrush,scathr5
Bonin Thrush,bonthr2
Makira Thrush,sacthr2
Guadalcanal Thrush,sacthr3
Bassian Thrush,oltthr1
New Britain Thrush,nebthr1
Bougainville Thrush,bouthr1
Russet-tailed Thrush,rutthr1
Fawn-breasted Thrush,fabthr1
Sulawesi Thrush,sulthr1
Tristan Thrush,trithr1
Eastern Bluebird,easblu
Western Bluebird,wesblu
Mountain Bluebird,moublu
Townsend's Solitaire,towsol
Brown-backed Solitaire,brbsol1
Cuban Solitaire,cubsol1
Rufous-throated Solitaire,rutsol1
Black-faced Solitaire,blfsol1
Varied Solitaire,varsol1
Slate-colored Solitaire,slcsol1
Andean Solitaire,andsol1
Kamao,kamao
Amaui,amaui
Olomao,olomao
Omao,omao
Puaiohi,puaioh
Black-billed Nightingale-Thrush,bbnthr1
Orange-billed Nightingale-Thrush,obnthr1
Slaty-backed Nightingale-Thrush,sbnthr1
Russet Nightingale-Thrush,runthr1
Ruddy-capped Nightingale-Thrush,rcnthr1
Black-headed Nightingale-Thrush,bhnthr1
Spotted Nightingale-Thrush,spnthr1
Veery,veery
Gray-cheeked Thrush,gycthr
Bicknell's Thrush,bicthr
Swainson's Thrush,swathr
Hermit Thrush,herthr
Wood Thrush,woothr
Groundscraper Thrush,grothr1
Black Solitaire,blasol1
White-eared Solitaire,whesol1
Rufous-brown Solitaire,rubsol1
Yemen Thrush,yemthr1
Somali Thrush,somthr1
Taita Thrush,taithr1
Abyssinian Thrush,abythr1
Usambara Thrush,usathr1
Comoro Thrush,comthr1
Kurrichane Thrush,kurthr1
Olive Thrush,olithr2
Karoo Thrush,karthr1
Sao Tome Thrush,satthr1
Principe Thrush,prithr1
African Thrush,afrthr1
African Bare-eyed Thrush,abethr1
Gray-backed Thrush,gybthr1
Tickell's Thrush,ticthr1
Black-breasted Thrush,blbthr2
Japanese Thrush,japthr1
White-collared Blackbird,whcbla1
Ring Ouzel,rinouz1
Gray-winged Blackbird,gywbla1
Eurasian Blackbird,eurbla
Chinese Blackbird,chibla1
Tibetan Blackbird,tibbla1
Indian Blackbird,eurbla2
Island Thrush,islthr1
Chestnut Thrush,chethr1
White-backed Thrush,whbthr2
Gray-sided Thrush,gysthr1
Eyebrowed Thrush,eyethr
Pale Thrush,palthr1
Brown-headed Thrush,brhthr1
Izu Thrush,izuthr1
Black-throated Thrush,datthr1
Red-throated Thrush,retthr1
Dusky Thrush,dusthr2
Naumann's Thrush,dusthr1
Fieldfare,fieldf
Redwing,redwin
Song Thrush,sonthr1
Chinese Thrush,chithr2
Mistle Thrush,misthr1
Sooty Thrush,soorob1
Black Thrush,blarob1
Mountain Thrush,mourob1
Pale-eyed Thrush,paethr1
Austral Thrush,austhr1
Plumbeous-backed Thrush,plbthr2
Yellow-legged Thrush,yelthr1
Pale-breasted Thrush,pabthr1
Cocoa Thrush,cocthr1
Hauxwell's Thrush,hauthr1
Pale-vented Thrush,pavthr1
Rufous-bellied Thrush,rubthr1
Clay-colored Thrush,clcrob
Spectacled Thrush,baerob1
Ecuadorian Thrush,ecuthr1
Varzea Thrush,hauthr3
Unicolored Thrush,unithr1
White-eyed Thrush,whethr1
Lawrence's Thrush,lawthr1
Creamy-bellied Thrush,crbthr1
Black-billed Thrush,blbthr1
Marañon Thrush,marthr2
Chestnut-bellied Thrush,chbthr2
Black-hooded Thrush,blhthr1
Slaty Thrush,slathr1
Great Thrush,grethr1
Chiguanco Thrush,chithr1
Glossy-black Thrush,glbthr1
White-throated Thrush,whtrob1
White-necked Thrush,whnrob1
Rufous-backed Robin,rubrob
Rufous-collared Robin,rucrob1
American Robin,amerob
La Selle Thrush,lasthr1
White-chinned Thrush,whcthr1
Grand Cayman Thrush,grcthr1
Red-legged Thrush,relthr1
Forest Thrush,forthr1
Varied Thrush,varthr
Aztec Thrush,aztthr
Fruit-hunter,fruit-2
Purple Cochoa,purcoc1
Green Cochoa,grecoc1
Sumatran Cochoa,sumcoc1
Javan Cochoa,javcoc1
Blue Mockingbird,blumoc
Blue-and-white Mockingbird,bawmoc1
Black Catbird,blacat1
Gray Catbird,grycat
White-breasted Thrasher,whbthr1
Scaly-breasted Thrasher,scbthr
Pearly-eyed Thrasher,peethr1
Brown Trembler,brotre1
Gray Trembler,gratre1
Curve-billed Thrasher,cubthr
Ocellated Thrasher,ocethr1
Brown Thrasher,brnthr
Long-billed Thrasher,lobthr
Cozumel Thrasher,cozthr1
Bendire's Thrasher,benthr
Gray Thrasher,grathr1
California Thrasher,calthr
LeConte's Thrasher,lecthr
Crissal Thrasher,crithr
Sage Thrasher,sagthr
Chilean Mockingbird,chimoc1
Patagonian Mockingbird,patmoc1
Chalk-browed Mockingbird,chbmoc1
White-banded Mockingbird,whbmoc1
Brown-backed Mockingbird,brbmoc1
Bahama Mockingbird,bahmoc
Galapagos Mockingbird,galmoc1
Floreana Mockingbird,chamoc1
Española Mockingbird,hoomoc1
San Cristobal Mockingbird,chamoc2
Long-tailed Mockingbird,lotmoc1
Socorro Mockingbird,socmoc1
